#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_10-6-22\Sample Specific Files\iMata_GDANB_Pt2_SampleManifest.xlsx -> Sheet 1

IlluminaID	ExternalID
202202025-01	COP30114
202201830-01	CHP0263
202201787-01	CHP0219. A
201927161-13	#N/A
202201935-01	COP30024
202202200-01	CCP0191
202202186-01	UCHP0019
202202008-01	COP30095
202201844-01	CHP0278
202202122-01	CCP0249
202201896-01	UMP01127
202000509-14	#N/A
202201997-01	COP30078
201207480-04_pA	HIHG Control
202118205-13	#N/A
202117081-15	#N/A
202201958-01	COP30035
202201780-01	CHP0212
202201802-01	CHP0235
202202027-01	COP30116
202201967-01	COP30043
202202180-01	CCP0114
202201871-01	CHC0306
202202178-01	CCP0092
202025364-14	#N/A
202000511-06	#N/A
202201853-01	CHP0288. B
202201881-01	CHP0316
202202123-01	CCP0250
202201942-01	UMC00309
202202095-01	CCC0266
202201903-01	UMC01854
202202029-01	COP30125
202202249-01	COC07229
202202217-01	CCC0282
202202093-01	CCC0248
202202039-01	COP30136
202120511-16	#N/A
202202048-01	COP30148
202202188-01	CCP0167
201926751-15	#N/A
202119022-14	#N/A
202202196-01	CCP0182
202201995-01	COP30074
202202135-01	CCP0265
202202241-01	COC07226
202201973-01	COP30050
202000180-14	#N/A
202117083-15	#N/A
202201781-01	CHP0213
202201965-01	COP30040
202202198-01	CCP0187
202201854-01	CHP0289
202202010-01	COP30098
202201784-01	CHP0216
202201917-01	COP30013
202201976-01	COP30054
202201978-01	COP30056
202202142-01	CCP0278
202102450-07	#N/A
202201954-01	COP30032
202202169-01	UCHP0008
202201911-01	UMC01860
202002278-13	#N/A
202000510-14	#N/A
202201589-23	#N/A
202201834-01	CHP0267
202201325-15	#N/A
202201867-01	CHP0302
202202147-01	CCC0164
202203566-21	#N/A
202202219-01	CCP0281
202202005-01	COP30092
202202114-01	CCP0230
202202071-01	MXP0012
202202031-01	COP30127
202202030-01	COP30126
202201944-01	COP30025
202202230-01	CHC0365
202201891-01	UMP01122
202202085-01	MXP0044
202202190-01	CCP0171
202201899-01	UMC01801
202002244-14	#N/A
202201893-01	UMP01124
202201814-01	CHP0247
202202216-01	UCHP0033
202202194-01	UCHP0022
202202042-01	COP30140
202201878-01	CHP0313
202201826-01	CHP0259
202202037-01	COP30141
202202026-01	COP30115
202201791-01	CHP0224
202201938-01	UMC00210
202202007-01	COP30094
202101149-15	#N/A
202201785-01	CHP0217
202201773-01	CHP0204
