#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_2-24-23\Sample Specific Files\iMata_GDANB_Pt3_SampleManifest.xlsx -> Genotyped sheet

IlluminaID	ExternalID
202219248-01	MIP00034
202219494-01	MIP00241
202219808-01	PPC2481
202219618-01	PPC2211
202219571-01	PPC2658
202219552-01	PPC2636
202219735-01	PPC2355
202219492-01	MIP00239
202219810-01	PPC2484
202219733-01	PPC2353
202219297-01	MIP00076
202219476-01	MIP00228
202219505-01	PPC2579
202219838-01	PPC2512
202219830-01	PPC2504
202219368-01	PPP2148
202219761-01	PPC2390
202219667-01	PPC2064
202219854-01	PPC2530
202219729-01	PPC2349
202219604-01	PPC2195
202219503-01	PPC2572
202219649-01	PPC2250
202219415-01	MIP00176
202219635-01	PPC2230
202219258-01	MIP00043
202219760-01	PPC2389
202219825-01	PPC2499
202219280-01	MIP00062
202219806-01	PPC2479
202219862-01	PPC2539
202219802-01	PPC2475
202219496-01	MIP00243
202219599-01	PPC2188
202219350-01	MIP00121
202219343-01	MIP00114
202219697-01	PPC2311
202219238-01	MIP00025
202219423-01	MIP00181
202219245-01	MIP00031
202219775-01	PPC2418
201207480-04_pt3pA	HIHG Control
202219408-01	MIP00169
202219674-01	PPC2281
202219781-01	PPC2442
202219437-01	MIP00193
202219569-01	PPC2655
202219432-01	MIP00189
202219472-01	MIP00224
202219462-01	MIP00215
202219686-01	PPC2298
202219548-01	PPC2631
202219570-01	PPC2656
202219225-01	MIP00015
202219294-01	MIP00073
202219426-01	MIP00183
202219545-01	PPC2626
202202173-01	UCHP0015
202219471-01	MIP00223
202219421-01	MIP00179
202219783-01	PPC2444
202219299-01	PPP2138
202219766-01	PPC2406
202219826-01	PPC2500
202219424-01	MIP00182
202219232-01	MIP00020
202219339-01	MIP00111
202201933-01	UMP00206
202219723-01	PPC2343
202219318-01	MIP00094
202219671-01	PPC2278
202219847-01	PPC2523
202023844-01	ARP0019
202219390-01	MIP00154
202219839-01	PPC2513
202219774-01	PPC2417
202219229-01	MIP00017
202219359-01	MIP00127
202219522-01	PPC2598
202219859-01	PPC2536
202219535-01	PPC2615
202219625-01	PPC2218
202219798-01	PPC2471
202219816-01	PPC2490
202219277-01	MIP00059
202219214-01	MIP00005
202219692-01	PPC2306
202219543-01	PPC2624
202219844-01	PPC2520
202219696-01	PPC2310
202219803-01	PPC2476
202219726-01	PPC2346
202219629-01	PPC2222
202219524-01	PPC2601
202219824-01	PPC2498
202219607-01	PPC2199
202219388-01	MIP00152
202219794-01	PPC2467
202219762-01	PPC2402
202219231-01	MIP00019
202219539-01	PPC2619
202219316-01	MIP00092
202219800-01	PPC2473
202219361-01	MIP00129
202219655-01	PPC2256
202219788-01	PPC2451
202219367-01	MIP00135
202219264-01	MIP00047
202219515-01	PPC2590
202219516-01	PPC2591
202219863-01	PPC2540
202219681-01	PPC2293
202219546-01	PPC2627
202219672-01	PPC2279
202219399-01	MIP00161
202219746-01	PPC2370
202219446-01	MIP00202
202219598-01	PPC2012
202219330-01	MIP00102
202219779-01	PPC2434
202219244-01	PPP2133
202219801-01	PPC2474
202219410-01	MIP00171
202219447-01	PPP2196
202219406-01	MIP00167
202219575-01	PPC2662
202219610-01	PPC2203
202219795-01	PPC2468
202219291-01	MIP00070
202219836-01	PPC2510
202219834-01	PPC2508
202219347-01	MIP00118
202219409-01	MIP00170
202219401-01	MIP00163
202219588-01	PPC2690
202219387-01	MIP00151
202219349-01	MIP00120
202219782-01	PPC2443
202219630-01	PPC2223
202219841-01	PPC2515
202219317-01	MIP00093
202219377-01	MIP00144
202219554-01	PPC2638
202219241-01	PPC2697
202219596-01	PPC2183
202219433-01	MIP00190
202219644-01	PPC2244
202219556-01	PPC2640
202219623-01	PPC2216
202219721-01	PPC2341
202219837-01	PPC2511
202219876-01	PPC2556
202219549-01	PPC2632
202219478-01	PPP2233
202219591-01	PPC2693
202219272-01	PPP2135
202219336-01	MIP00108
202219247-01	MIP00033
202219334-01	MIP00106
202219501-01	PPC2568
202219687-01	PPC2299
202219495-01	MIP00242
202219461-01	MIP00214
202219398-01	MIP00160
202219736-01	PPC2356
202219512-01	PPC2587
202219319-01	MIP00095
202219445-01	MIP00201
201207480-04_pt3pB	HIHG Control
202219209-01	MIP00001
202219210-01	MIP00002
202219609-01	PPC2034
202219483-01	MIP00232
202219324-01	PPP2142
202219640-01	PPC2240
202219594-01	PPC2176
202219488-01	MIP00237
202219874-01	PPC2554
202219600-01	PPC2189
202219396-01	MIP00158
202219362-01	MIP00130
202219513-01	PPC2588
202219344-01	MIP00115
202219560-01	PPC2644
