#Extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data-7-28-23\iMata_GDANB_Pt4\Sample Specific Files -> Genotyped

IlluminaID	ExternalID
202303421-01	PPC2716
202303744-01	CHP0376
202303498-01	UCHC0050
202303767-01	BEP9980121
202303473-01	PPC2774
202303775-01	UMC02270
202303790-01	POP9920020
202303387-01	PPP2731
202303599-01	UMC02071
202303708-01	CHP0409
202303482-01	PPC2783
202303685-01	MXP0048
202303447-01	PPC2748
202303809-01	POP9920039
202303329-01	PPC2825
202303433-01	PPC2729
202303431-01	PPC2726
202303667-01	UMP00502
202303656-01	COP30160
202303774-01	UMC02268
202303382-01	PPP2685
202303754-01	CHP0384
202303861-01	POP9920096
202303313-01	PPC2806
202303338-01	PPC2834
202303832-01	POP9920062
202303522-01	UCHC0074
202303614-01	BEC9980075
202303352-01	PPC2848
202303328-01	PPC2824
202303742-01	CHP0373
202303508-01	UCHC0060
202303743-01	CHP0374
202303547-01	UMC02062
202303784-01	BEP9980122
202303515-01	UCHC0067
202303622-01	BEC9980083
202303374-01	PPP2672
202303658-01	COP30162
202303466-01	PPC2767
202303582-01	CCP0311
202303512-01	UCHC0064
202303747-01	UMC00255
202303366-01	PPC2865
202303683-01	MXP0076
202303444-01	PPC2745
202303714-01	CHP0416
202303418-01	PPC2713
202303592-01	CCP0318
202303889-01	CAP10050024
202303816-01	POP9920046
202303862-01	POP9920109
202303463-01	PPC2764
202303689-01	MXP0053
202303902-01	BEP9980144
202303613-01	BEC9980074
202303798-01	POP9920028
202303465-01	PPC2766
202303857-01	POP9920088
202303365-01	PPC2864
202303383-01	PPP2686
202303645-01	POC9920099
202303317-01	PPC2811
202303628-01	BEP9980101
202303663-01	COP30167
202303551-01	UMC01839
202303556-01	COP30187
202303308-01	PPC2801
202303822-01	POP9920052
202303454-01	PPC2755
202303301-01	PPC2794
201207480-04_pA	HIHG Control
202303826-01	POP9920056
202303346-01	PPC2842
202303437-01	PPC2738
202303344-01	PPC2840
202303319-01	PPC2813
202303499-01	UCHC0051
202303616-01	UMC02076
202303605-01	BEC9980066
202303882-01	CAP10050014
202303873-01	UMC01933
202303458-01	PPC2759
202303770-01	UMC01842
202303587-01	CCP0316
202303885-01	CAP10050018
202303900-01	PPC2681
202303318-01	PPC2812
202303554-01	UMC02052
202303630-01	BEC9980091
202303864-01	BEP9980137
202303789-01	POP9920019
202303359-01	PPC2855
202303771-01	UMC01843
202303800-01	BEP9980123
202303801-01	UMP02605
202303797-01	POP9920027
202303664-01	BEP9980115
202303654-01	COP30158
202303710-01	CHP0411
202303736-01	UMC02091
202303669-01	MXC0058
202303562-01	COP30193
202303670-01	MXC0060
202303305-01	PPC2798
202303445-01	PPC2746
201207480-04_pB	HIHG Control
202303588-01	CCP0305
202303722-01	CHP0423
202303773-01	UMC02253
202303696-01	MXP0062
202303871-01	UMC01889
202303411-01	PPC2705
202303423-01	PPC2718
202303642-01	POC9920095
202303468-01	PPC2769
202303846-01	BEP9980134
202303450-01	PPC2751
202303604-01	BEC9980065
202303867-01	UMC02210
202303449-01	PPC2750
202303583-01	CCP0312
202303537-01	UCHP0043
202303694-01	MXP0059
202303640-01	CAC10050008
202303451-01	PPC2752
202303601-01	BEC9980062
202303623-01	BEC9980084
202303576-01	COP30207
202303574-01	COP30205
202303405-01	CHC0407
202303320-01	PPC2814
202303701-01	MXP0067
202303385-01	PPP2710
202303325-01	PPC2821
202303386-01	PPP2728
202303703-01	MXP0070
202303340-01	PPC2836
202303653-01	BEP9980113
202303524-01	UCHC0076
202303438-01	PPC2739
202303879-01	BEP9980141
202303311-01	PPC2804
202303316-01	PPC2810
202303845-01	POP9920075
202303435-01	PPC2733
202303507-01	UCHC0059
202303496-01	UCHC0048
202303644-01	POC9920098
202303795-01	UMP02260
202303416-01	PPC2711
202303755-01	CHP0385
202303684-01	UMC01813
202303834-01	POP9920064
202303852-01	POP9920082
202303472-01	PPC2773
202303851-01	UMC01831
202303819-01	POP9920049
202303849-01	POP9920079
202303647-01	BEP9980110
202303729-01	CHP0431
202303635-01	BEC9980096
202303762-01	CHP0390
202303452-01	PPC2753
202303890-01	CAP10050026
202303633-01	BEC9980094
202303478-01	PPC2779
202303349-01	PPC2845
202303553-01	UMC02051
202303440-01	PPC2741
202303539-01	UCHP0009
202303571-01	COP30202
202303730-01	CHP0432
202303808-01	POP9920038
202303443-01	PPC2744
202303618-01	BEC9980079
202303895-01	CAP10050035
202303536-01	UCHP0042
202303866-01	BEP9980138
202303745-01	CHP0377
202303569-01	COP30200
202303732-01	CHP0434
202303699-01	MXP0065
202303397-01	CHC0372
202303307-01	PPC2800
202303306-01	PPC2799
202303347-01	PPC2843
202303350-01	PPC2846
202303388-01	PPP2732
202303719-01	CHP0420
202303893-01	CAP10050033
202303859-01	POP9920090
202303409-01	PPC2682
202303521-01	UCHC0073
202303527-01	UCHC0080
202303310-01	PPC2803
202303778-01	UMC02278
202303538-01	UCHP0001
202303337-01	PPC2833
202303526-01	UCHC0079
202303412-01	PPC2706
202303833-01	POP9920063
202303827-01	BEP9980129
202303785-01	POP9920015
202303501-01	UCHC0053
202303761-01	UMP00511
202303494-01	UCHC0046
202303426-01	PPC2721
202303688-01	MXP0052
202303309-01	PPC2802
202303624-01	BEC9980085
202303331-01	PPC2827
202303302-01	PPC2795
202303872-01	BEP9980139
202303372-01	PPP2860
202303570-01	COP30201
202303739-01	UMC02245
202303898-01	POP9920003
202303718-01	CHP0419
202303854-01	POP9920084
202303303-01	PPC2796
202303782-01	POP9920012
202303625-01	BEC9980086
202303510-01	UCHC0062
202303830-01	POP9920060
202303787-01	POP9920017
202303558-01	COP30189
202303332-01	PPC2828
202303807-01	POP9920037
202303741-01	CHP0371
202303371-01	UMP02617
202303585-01	CCP0314
202303439-01	PPC2740
202303805-01	BEP9980125
202303520-01	UCHC0072
202303406-01	CHC0412
202303863-01	POP9920111
201207480-04_pC	HIHG Control
202303617-01	BEC9980078
202303425-01	PPC2720
202303330-01	PPC2826
202303891-01	CAP10050028
202303643-01	BEP9980109
202303593-01	CCP0319
202303471-01	PPC2772
202303734-01	UMP02607
202303565-01	COP30196
202303766-01	CHP0396
202303402-01	CHC0400
202303721-01	CHP0422
202303870-01	UMC01838
202303823-01	POP9920053
202303345-01	PPC2841
202303806-01	UMP02610
202303848-01	POP9920078
202303661-01	COP30165
202303607-01	BEC9980068
202303334-01	PPC2830
202303828-01	BEP9980130
202303757-01	CHP0387
202303486-01	PPC2787
202303621-01	BEC9980082
202303417-01	PPC2712
202303552-01	UMC01840
202303821-01	POP9920051
202303682-01	COP30185
202303876-01	CAP10050002
202303511-01	UCHC0063
202303419-01	PPC2714
202303483-01	PPC2784
202303799-01	POP9920029
202303634-01	UMP02214
202303810-01	UMP02615
202303442-01	PPC2743
202303563-01	COP30194
202303341-01	PPC2837
202303711-01	BEP9980118
202303549-01	UMC01811
202303894-01	CAP10050034
202303657-01	COP30161
202303410-01	PPC2684
202303561-01	COP30192
202303680-01	COP30183
202303752-01	CHP0382
202303715-01	CHP0417
202303591-01	CCP0317
202303457-01	PPC2758
202303559-01	COP30190
202303324-01	PPC2820
202303813-01	POP9920043
202303422-01	PPC2717
202303802-01	UMP02606
202303758-01	CHP0388
202303748-01	CHP0378
202303692-01	MXP0056
202303860-01	POP9920091
202303326-01	PPC2822
202303407-01	CHC0428
202303717-01	UMP02602
202303514-01	UCHC0066
202303485-01	PPC2786
202303610-01	BEC9980071
202303518-01	UCHC0070
202303314-01	PPC2807
202303579-01	CCC0308
202303497-01	UCHC0049
202303764-01	CHP0392
202303530-01	UCHP0036
202303818-01	UMP01162
202303881-01	CAP10050013
202303493-01	UCHC0045
202303631-01	BEP9980103
202303469-01	PPC2770
202303829-01	POP9920059
201207480-04_pD	HIHG Control
202303600-01	BEC9980061
202303707-01	MXP0075
202303746-01	BEP9980119
202303769-01	CHP0403
202303843-01	POP9920073
202303777-01	UMC02275
202303339-01	PPC2835
202303892-01	CAP10050030
202303415-01	PPC2709
202303606-01	BEC9980067
202303360-01	PPC2858
202303300-01	PPC2793
202303629-01	BEC9980090
202303584-01	CCP0313
202303380-01	PPP2680
202303506-01	UCHC0058
202303709-01	CHP0410
202303488-01	PPC2789
202303602-01	BEC9980063
202303651-01	UMP01623
202303572-01	COP30203
202303673-01	COP30177
202303391-01	PPP2737
202303504-01	UCHC0056
202303590-01	CCP0307
202303824-01	POP9920054
202303727-01	UMP02603
202303568-01	COP30199
202303596-01	UMC02235
202303333-01	PPC2829
202303453-01	PPC2754
202303716-01	CHP0418
202303578-01	COP30209
202303749-01	CHP0379
202303690-01	MXP0054
202303395-01	PPP2857
202303598-01	UMP00509
202303420-01	PPC2715
202303528-01	UCHC0081
202303839-01	UMC01830
202303675-01	COP30179
202303399-01	CHC0393
202303446-01	PPC2747
202303698-01	MXP0064
202303555-01	UMC02064
202303370-01	PPC2198
202303702-01	UMC02053
202303655-01	BEP9980114
202303791-01	POP9920021
202303375-01	PPP2546
202303847-01	BEP9980136
202303362-01	PPC2861
202303874-01	BEP9980140
202303428-01	PPC2723
202303751-01	UMP02611
202303532-01	UCHP0038
202303461-01	PPC2762
202303835-01	POP9920065
202303389-01	PPP2735
202303321-01	PPC2815
202303401-01	CHC0397
202303408-01	CHC0429
202303491-01	PPC2792
202303704-01	MXP0071
202303869-01	UMC01837
202303581-01	CCP0310
202303516-01	UCHC0068
202303513-01	UCHC0065
202303327-01	PPC2823
202303728-01	CHP0430
202303858-01	UMC01832
202303363-01	PPC2862
202303831-01	POP9920061
202303608-01	BEC9980069
202303342-01	PPC2838
202303883-01	CAP10050015
202303868-01	UMC01834
202303638-01	BEC9980099
202303580-01	CCP0309
202303641-01	POC9920085
202303336-01	PPC2832
202303529-01	UCHP0035
202303814-01	UMP02620
202303779-01	UMC02281
202303735-01	CHP0437
202303733-01	CHP0435
202303756-01	UMC01844
202303381-01	PPP2683
202303548-01	UMC02222
202303811-01	POP9920041
202303886-01	CAP10050020
202303394-01	PPP2819
202303672-01	MXC0072
202303467-01	PPC2768
202303448-01	PPC2749
202303649-01	UMP02218
202303888-01	CAP10050023
202303763-01	CHP0391
202303878-01	CAP10050006
202303820-01	POP9920050
202303691-01	MXP0055
202303595-01	UMP01640
202303620-01	BEC9980081
202303509-01	UCHC0061
202303738-01	UMC02238
202303597-01	UMC02069
202303723-01	CHP0424
202303523-01	UCHC0075
202303681-01	COP30184
202303724-01	CHP0425
202303646-01	POC9920100
202303315-01	PPC2808
202303855-01	POP9920086
202303456-01	PPC2757
202303897-01	POP9920002
202303679-01	COP30182
202303502-01	UCHC0054
202303750-01	CHP0380
202303335-01	PPC2831
202303361-01	PPC2859
202303842-01	POP9920072
202303545-01	UMC02055
202303841-01	POP9920071
202303542-01	UCHP0012
202303351-01	PPC2847
202303519-01	UCHC0071
202303792-01	POP9920022
202303786-01	POP9920016
202303612-01	BEC9980073
202303887-01	CAP10050022
202303875-01	UMC02209
202303760-01	BEP9980120
202303840-01	POP9920070
202303464-01	PPC2765
202303546-01	UMC02232
202303505-01	UCHC0057
202303815-01	POP9920045
202303713-01	CHP0415
201207480-04_pE	HIHG Control
202303573-01	COP30204
202303429-01	PPC2724
202303853-01	POP9920083
202303740-01	UMP02609
202303594-01	UMC02065
202303533-01	UCHP0039
202303666-01	BEP9980117
202303323-01	PPC2817
202303626-01	BEC9980087
202303611-01	BEC9980072
202303737-01	UMC02092
202303899-01	POP9920004
202303697-01	MXP0063
202303369-01	PPC2272
202303544-01	UMC02054
202303884-01	CAP10050016
202303687-01	UMC01814
202303541-01	UCHP0011
202303652-01	BEP9980112
202303487-01	PPC2788
202303373-01	PPP2671
202303400-01	CHC0395
202303477-01	PPC2778
202303525-01	UCHC0077
202303460-01	PPC2761
202303677-01	COP30180
202303825-01	BEP9980128
202303776-01	UMC02271
202303668-01	MXC0051
202303671-01	MXC0069
202303650-01	UMP01605
202303731-01	CHP0433
202303403-01	UMC02061
202303540-01	UCHP0010
202303796-01	POP9920026
202303348-01	PPC2844
202303489-01	PPC2790
202303788-01	POP9920018
202303354-01	PPC2850
202303603-01	BEC9980064
202303481-01	PPC2782
202303564-01	COP30195
202303753-01	CHP0383
202303674-01	COP30178
202303665-01	BEP9980116
202303812-01	UMP02618
201207480-04_pF	HIHG Control
202303500-01	UCHC0052
202303378-01	PPP2678
202303377-01	PPP2669
202303817-01	POP9920047
202303535-01	UCHP0041
202303484-01	PPC2785
202303492-01	UCHC0044
202303838-01	POP9920068
202303781-01	POP9920011
202303355-01	PPC2851
202303712-01	CHP0414
202303503-01	UCHC0055
202303880-01	CAP10050011
202303700-01	MXP0066
202303441-01	PPC2742
202303726-01	CHP0427
202303434-01	PPC2730
202303392-01	PPP2809
202303577-01	COP30208
202303615-01	BEC9980076
202303780-01	POP9920010
202303793-01	POP9920023
202303609-01	BEC9980070
202303474-01	PPC2775
202303490-01	PPC2791
202303693-01	MXP0057
202303659-01	COP30163
202303575-01	COP30206
202303836-01	POP9920066
202303495-01	UCHC0047
202303393-01	PPP2818
202303353-01	PPC2849
202303517-01	UCHC0069
202303312-01	PPC2805
202303414-01	PPC2708
202303759-01	UMP00219
202303396-01	CHC0370
202303479-01	PPC2780
202303376-01	PPP2657
202303455-01	PPC2756
202303850-01	POP9920080
202303470-01	PPC2771
202303476-01	PPC2777
202303534-01	UCHP0040
202303783-01	POP9920013
202303639-01	CAC10050007
202303589-01	CCP0306
202303632-01	BEC9980093
202303566-01	COP30197
202303877-01	CAP10050004
202303765-01	CHP0394
202303531-01	UCHP0037
202303627-01	BEC9980088
202303720-01	CHP0421
202303550-01	UMC02063
202303436-01	PPC2734
202303768-01	CHP0399
202303636-01	BEP9980105
202303462-01	PPC2763
202303343-01	PPC2839
202303686-01	MXP0049
202303865-01	UMP02613
202303304-01	PPC2797
202303427-01	PPC2722
202303662-01	COP30166
202303384-01	PPP2687
202303676-01	UMP02217
202303586-01	CCP0315
202303560-01	COP30191
202303459-01	PPC2760
202303567-01	COP30198
202303543-01	UMC02224
202303368-01	PPP2187
202303660-01	COP30164
202303475-01	PPC2776
202303480-01	PPC2781
202303678-01	COP30181
202303413-01	PPC2707
202303557-01	COP30188
202303430-01	PPC2725
202303695-01	MXP0061
202303432-01	PPC2727
202303404-01	CHC0402
202303379-01	PPP2679
202303844-01	BEP9980133
202303358-01	PPC2854
202303637-01	BEP9980106
202303794-01	POP9920024
202303856-01	POP9920087
202303725-01	CHP0426
202303364-01	PPC2863
202303837-01	POP9920067
202303619-01	BEC9980080
202303390-01	PPP2736
202303803-01	POP9920033
202303367-01	PPC2866
201207480-04_pG	HIHG Control
202303424-01	PPC2719
202303772-01	UMP02256
202303901-01	BEP9980143
202303322-01	PPC2816
202303648-01	POC9920105
202303398-01	CHC0375
202303896-01	BEP9980142
202303323-01_Rerun	PPC2817
202303871-01_Rerun	UMC01889
202303409-01_Rerun	PPC2682
