#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_7-20-21\Sample Specific Files\iMata_GDANB_Pt1_pA-E_SampleSheet.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
202023492-01,205427610005,R01C01
202023698-01,205427610005,R02C01
202023535-01,205427610005,R03C01
202023553-01,205427610005,R04C01
202023375-01,205427610005,R05C01
202023415-01,205427610005,R06C01
202023616-01,205427610005,R07C01
202023521-01,205427610005,R08C01
202023741-01,205427610025,R01C01
202023470-01,205427610025,R02C01
202023624-01,205427610025,R03C01
202023684-01,205427610025,R04C01
202023816-01,205427610025,R05C01
202023661-01,205427610025,R06C01
202023418-01,205427610025,R07C01
202023742-01,205427610025,R08C01
202023424-01,205427610006,R01C01
202023757-01,205427610006,R02C01
202023397-01,205427610006,R03C01
202023739-01,205427610006,R04C01
202023445-01,205427610006,R05C01
202023563-01,205427610006,R06C01
202023795-01,205427610006,R07C01
202023335-01,205427610006,R08C01
202023800-01,205427610015,R01C01
202023775-01,205427610015,R02C01
202023496-01,205427610015,R03C01
202023467-01,205427610015,R04C01
202023398-01,205427610015,R05C01
202023789-01,205427610015,R06C01
202023781-01,205427610015,R07C01
202023539-01,205427610015,R08C01
202023436-01,205427610002,R01C01
202023423-01,205427610002,R02C01
202023762-01,205427610002,R03C01
202023768-01,205427610002,R04C01
202023475-01,205427610002,R05C01
202023453-01,205427610002,R06C01
202023607-01,205427610002,R07C01
202023609-01,205427610002,R08C01
202023686-01,205415060028,R01C01
202023620-01,205415060028,R02C01
202023401-01,205415060028,R03C01
202023613-01,205415060028,R04C01
202023380-01,205415060028,R05C01
202023544-01,205415060028,R06C01
202023612-01,205415060028,R07C01
202023628-01,205415060028,R08C01
202023438-01,205415060001,R01C01
202023336-01,205415060001,R02C01
202023449-01,205415060001,R03C01
202023528-01,205415060001,R04C01
202023838-01,205415060001,R05C01
202023472-01,205415060001,R06C01
202023670-01,205415060001,R07C01
202023362-01,205415060001,R08C01
202023758-01,205427610004,R01C01
202023578-01,205427610004,R02C01
202023443-01,205427610004,R03C01
202023665-01,205427610004,R04C01
202023394-01,205427610004,R05C01
202023707-01,205427610004,R06C01
202023726-01,205427610004,R07C01
202023772-01,205427610004,R08C01
202023519-01,205427610001,R01C01
202023833-01,205427610001,R02C01
202023597-01,205427610001,R03C01
202023727-01,205427610001,R04C01
202023533-01,205427610001,R05C01
202023337-01,205427610001,R06C01
202023503-01,205427610001,R07C01
202023537-01,205427610001,R08C01
202023581-01,205415060014,R01C01
202023669-01,205415060014,R02C01
202023730-01,205415060014,R03C01
202023478-01,205415060014,R04C01
202023737-01,205415060014,R05C01
202023463-01,205415060014,R06C01
202023817-01,205415060014,R07C01
202023372-01,205415060014,R08C01
202023405-01,205415060030,R01C01
202023652-01,205415060030,R02C01
202023699-01,205415060030,R03C01
202023704-01,205415060030,R04C01
202023682-01,205415060030,R05C01
202023797-01,205415060030,R06C01
202023810-01,205415060030,R07C01
202023763-01,205415060030,R08C01
202023543-01,205427610026,R01C01
202023446-01,205427610026,R02C01
202023512-01,205427610026,R03C01
202023625-01,205427610026,R04C01
202023566-01,205427610026,R05C01
202023510-01,205427610026,R06C01
202023694-01,205427610026,R07C01
201207486-04_pA,205427610026,R08C01
202023505-01,205377900074,R01C01
202023494-01,205377900074,R02C01
202023738-01,205377900074,R03C01
202023732-01,205377900074,R04C01
202023709-01,205377900074,R05C01
202023338-01,205377900074,R06C01
202023633-01,205377900074,R07C01
202023389-01,205377900074,R08C01
202023642-01,205377900018,R01C01
202023540-01,205377900018,R02C01
202023615-01,205377900018,R03C01
202023386-01,205377900018,R04C01
202023473-01,205377900018,R05C01
202023623-01,205377900018,R06C01
202023456-01,205377900018,R07C01
202023608-01,205377900018,R08C01
202023412-01,205415060008,R01C01
202023614-01,205415060008,R02C01
202023477-01,205415060008,R03C01
202023493-01,205415060008,R04C01
202023559-01,205415060008,R05C01
202023459-01,205415060008,R06C01
202023485-01,205415060008,R07C01
202023746-01,205415060008,R08C01
202023605-01,205415060013,R01C01
202023831-01,205415060013,R02C01
202023778-01,205415060013,R03C01
202023437-01,205415060013,R04C01
202023347-01,205415060013,R05C01
202023587-01,205415060013,R06C01
202023584-01,205415060013,R07C01
202023532-01,205415060013,R08C01
202023827-01,205377900047,R01C01
202023504-01,205377900047,R02C01
202023466-01,205377900047,R03C01
202023501-01,205377900047,R04C01
202023706-01,205377900047,R05C01
202023387-01,205377900047,R06C01
202023471-01,205377900047,R07C01
202023342-01,205377900047,R08C01
202023367-01,205415060031,R01C01
202023358-01,205415060031,R02C01
202023647-01,205415060031,R03C01
202023631-01,205415060031,R04C01
202023582-01,205415060031,R05C01
202023711-01,205415060031,R06C01
202023549-01,205415060031,R07C01
202023811-01,205415060031,R08C01
202023495-01,205415060010,R01C01
202023782-01,205415060010,R02C01
202023622-01,205415060010,R03C01
202023637-01,205415060010,R04C01
202023487-01,205415060010,R05C01
