#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_10-6-22\Sample Specific Files\SampleSheet_iMata_kNuytemans_GDANeurobooster_576_ALL.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
202202025-01,206451070089,R01C01
202201830-01,206451070089,R02C01
202201787-01,206451070089,R03C01
201927161-13,206451070089,R04C01
202201935-01,206451070089,R05C01
202202200-01,206451070089,R06C01
202202186-01,206451070089,R07C01
202202008-01,206451070089,R08C01
202201844-01,206451070088,R01C01
202202122-01,206451070088,R02C01
202201896-01,206451070088,R03C01
202000509-14,206451070088,R04C01
202201997-01,206451070088,R05C01
201207480-04_pA,206451070088,R06C01
202118205-13,206451070088,R07C01
202117081-15,206451070088,R08C01
202201958-01,206451070024,R01C01
202201780-01,206451070024,R02C01
202201802-01,206451070024,R03C01
202202027-01,206451070024,R04C01
202201967-01,206451070024,R05C01
202202180-01,206451070024,R06C01
202201871-01,206451070024,R07C01
202202178-01,206451070024,R08C01
202025364-14,206451070194,R01C01
202000511-06,206451070194,R02C01
202201853-01,206451070194,R03C01
202201881-01,206451070194,R04C01
202202123-01,206451070194,R05C01
202201942-01,206451070194,R06C01
202202095-01,206451070194,R07C01
202201903-01,206451070194,R08C01
202202029-01,206451070113,R01C01
202202249-01,206451070113,R02C01
202202217-01,206451070113,R03C01
202202093-01,206451070113,R04C01
202202039-01,206451070113,R05C01
202120511-16,206451070113,R06C01
202202048-01,206451070113,R07C01
202202188-01,206451070113,R08C01
201926751-15,206412050149,R01C01
202119022-14,206412050149,R02C01
202202196-01,206412050149,R03C01
202201995-01,206412050149,R04C01
202202135-01,206412050149,R05C01
202202241-01,206412050149,R06C01
202201973-01,206412050149,R07C01
202000180-14,206412050149,R08C01
202117083-15,206451070010,R01C01
202201781-01,206451070010,R02C01
202201965-01,206451070010,R03C01
202202198-01,206451070010,R04C01
202201854-01,206451070010,R05C01
202202010-01,206451070010,R06C01
202201784-01,206451070010,R07C01
202201917-01,206451070010,R08C01
202201976-01,206451070165,R01C01
202201978-01,206451070165,R02C01
202202142-01,206451070165,R03C01
202102450-07,206451070165,R04C01
202201954-01,206451070165,R05C01
202202169-01,206451070165,R06C01
202201911-01,206451070165,R07C01
202002278-13,206451070165,R08C01
202000510-14,206451070090,R01C01
202201589-23,206451070090,R02C01
202201834-01,206451070090,R03C01
202201325-15,206451070090,R04C01
202201867-01,206451070090,R05C01
202202147-01,206451070090,R06C01
202203566-21,206451070090,R07C01
202202219-01,206451070090,R08C01
202202005-01,206412050118,R01C01
202202114-01,206412050118,R02C01
202202071-01,206412050118,R03C01
202202031-01,206412050118,R04C01
202202030-01,206412050118,R05C01
202201944-01,206412050118,R06C01
202202230-01,206412050118,R07C01
202201891-01,206412050118,R08C01
202202085-01,206412050101,R01C01
202202190-01,206412050101,R02C01
202201899-01,206412050101,R03C01
202002244-14,206412050101,R04C01
202201893-01,206412050101,R05C01
202201814-01,206412050101,R06C01
202202216-01,206412050101,R07C01
202202194-01,206412050101,R08C01
202202042-01,206412050090,R01C01
202201878-01,206412050090,R02C01
202201826-01,206412050090,R03C01
202202037-01,206412050090,R04C01
202202026-01,206412050090,R05C01
202201791-01,206412050090,R06C01
202201938-01,206412050090,R07C01
202202007-01,206412050090,R08C01
202101149-15,206412050138,R01C01
202201785-01,206412050138,R02C01
202201773-01,206412050138,R03C01
202201806-01,206412050138,R04C01
202201796-01,206412050138,R05C01
202202183-01,206412050138,R06C01
