#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data_2-24-23\Sample Specific Files\iMata_GDANB_SampleSheet_672.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A
202219248-01,207121700027,R01C01
202219494-01,207121700027,R02C01
202219808-01,207121700027,R03C01
202219618-01,207121700027,R04C01
202219571-01,207121700027,R05C01
202219552-01,207121700027,R06C01
202219735-01,207121700027,R07C01
202219492-01,207121700027,R08C01
202219810-01,207121700021,R01C01
202219733-01,207121700021,R02C01
202219297-01,207121700021,R03C01
202219476-01,207121700021,R04C01
202219505-01,207121700021,R05C01
202219838-01,207121700021,R06C01
202219830-01,207121700021,R07C01
202219368-01,207121700021,R08C01
202219761-01,207121700019,R01C01
202219667-01,207121700019,R02C01
202219854-01,207121700019,R03C01
202219729-01,207121700019,R04C01
202219604-01,207121700019,R05C01
202219503-01,207121700019,R06C01
202219649-01,207121700019,R07C01
202219415-01,207121700019,R08C01
202219635-01,207121700083,R01C01
202219258-01,207121700083,R02C01
202219760-01,207121700083,R03C01
202219825-01,207121700083,R04C01
202219280-01,207121700083,R05C01
202219806-01,207121700083,R06C01
202219862-01,207121700083,R07C01
202219802-01,207121700083,R08C01
202219496-01,207121700036,R01C01
202219599-01,207121700036,R02C01
202219350-01,207121700036,R03C01
202219343-01,207121700036,R04C01
202219697-01,207121700036,R05C01
202219238-01,207121700036,R06C01
202219423-01,207121700036,R07C01
202219245-01,207121700036,R08C01
202219775-01,207121700072,R01C01
201207480-04_pt3pA,207121700072,R02C01
202219408-01,207121700072,R03C01
202219674-01,207121700072,R04C01
202219781-01,207121700072,R05C01
202219437-01,207121700072,R06C01
202219569-01,207121700072,R07C01
202219432-01,207121700072,R08C01
202219472-01,207121700070,R01C01
202219462-01,207121700070,R02C01
202219686-01,207121700070,R03C01
202219548-01,207121700070,R04C01
202219570-01,207121700070,R05C01
202219225-01,207121700070,R06C01
202219294-01,207121700070,R07C01
202219426-01,207121700070,R08C01
202219545-01,207121700026,R01C01
202202173-01,207121700026,R02C01
202219471-01,207121700026,R03C01
202219421-01,207121700026,R04C01
202219783-01,207121700026,R05C01
202219299-01,207121700026,R06C01
202219766-01,207121700026,R07C01
202219826-01,207121700026,R08C01
202219424-01,207121700059,R01C01
202219232-01,207121700059,R02C01
202219339-01,207121700059,R03C01
202201933-01,207121700059,R04C01
202219723-01,207121700059,R05C01
202219318-01,207121700059,R06C01
202219671-01,207121700059,R07C01
202219847-01,207121700059,R08C01
202023844-01,207121700049,R01C01
202219390-01,207121700049,R02C01
202219839-01,207121700049,R03C01
202219774-01,207121700049,R04C01
202219229-01,207121700049,R05C01
202219359-01,207121700049,R06C01
202219522-01,207121700049,R07C01
202219859-01,207121700049,R08C01
202219535-01,207121700055,R01C01
202219625-01,207121700055,R02C01
202219798-01,207121700055,R03C01
202219816-01,207121700055,R04C01
202219277-01,207121700055,R05C01
202219214-01,207121700055,R06C01
202219692-01,207121700055,R07C01
202219543-01,207121700055,R08C01
202219844-01,207121700051,R01C01
202219696-01,207121700051,R02C01
202219803-01,207121700051,R03C01
202219726-01,207121700051,R04C01
202219629-01,207121700051,R05C01
202219524-01,207121700051,R06C01
202219824-01,207121700051,R07C01
202219607-01,207121700051,R08C01
202219388-01,207121700052,R01C01
202219794-01,207121700052,R02C01
202219762-01,207121700052,R03C01
202219231-01,207121700052,R04C01
202219539-01,207121700052,R05C01
202219316-01,207121700052,R06C01
202219800-01,207121700052,R07C01
202219361-01,207121700052,R08C01
202219655-01,207121700068,R01C01
202219788-01,207121700068,R02C01
202219367-01,207121700068,R03C01
202219264-01,207121700068,R04C01
202219515-01,207121700068,R05C01
202219516-01,207121700068,R06C01
202219863-01,207121700068,R07C01
202219681-01,207121700068,R08C01
202219546-01,207121700066,R01C01
202219672-01,207121700066,R02C01
202219399-01,207121700066,R03C01
202219746-01,207121700066,R04C01
202219446-01,207121700066,R05C01
202219598-01,207121700066,R06C01
202219330-01,207121700066,R07C01
202219779-01,207121700066,R08C01
202219244-01,207121700054,R01C01
202219801-01,207121700054,R02C01
202219410-01,207121700054,R03C01
202219447-01,207121700054,R04C01
202219406-01,207121700054,R05C01
202219575-01,207121700054,R06C01
202219610-01,207121700054,R07C01
202219795-01,207121700054,R08C01
202219291-01,207121700053,R01C01
202219836-01,207121700053,R02C01
202219834-01,207121700053,R03C01
202219347-01,207121700053,R04C01
202219409-01,207121700053,R05C01
202219401-01,207121700053,R06C01
202219588-01,207121700053,R07C01
202219387-01,207121700053,R08C01
202219349-01,207121700067,R01C01
202219782-01,207121700067,R02C01
202219630-01,207121700067,R03C01
202219841-01,207121700067,R04C01
202219317-01,207121700067,R05C01
202219377-01,207121700067,R06C01
202219554-01,207121700067,R07C01
202219241-01,207121700067,R08C01
202219596-01,207117380026,R01C01
202219433-01,207117380026,R02C01
202219644-01,207117380026,R03C01
202219556-01,207117380026,R04C01
202219623-01,207117380026,R05C01
202219721-01,207117380026,R06C01
202219837-01,207117380026,R07C01
202219876-01,207117380026,R08C01
202219549-01,207121700050,R01C01
202219478-01,207121700050,R02C01
202219591-01,207121700050,R03C01
202219272-01,207121700050,R04C01
202219336-01,207121700050,R05C01
202219247-01,207121700050,R06C01
202219334-01,207121700050,R07C01
202219501-01,207121700050,R08C01
202219687-01,207121700069,R01C01
202219495-01,207121700069,R02C01
202219461-01,207121700069,R03C01
202219398-01,207121700069,R04C01
202219736-01,207121700069,R05C01
202219512-01,207121700069,R06C01
202219319-01,207121700069,R07C01
202219445-01,207121700069,R08C01
201207480-04_pt3pB,207121700060,R01C01
202219209-01,207121700060,R02C01
202219210-01,207121700060,R03C01
202219609-01,207121700060,R04C01
202219483-01,207121700060,R05C01
202219324-01,207121700060,R06C01
202219640-01,207121700060,R07C01
202219594-01,207121700060,R08C01
202219488-01,207121700058,R01C01
202219874-01,207121700058,R02C01
202219600-01,207121700058,R03C01
202219396-01,207121700058,R04C01
202219362-01,207121700058,R05C01
202219513-01,207121700058,R06C01
202219344-01,207121700058,R07C01
202219560-01,207121700058,R08C01
202219250-01,207117380027,R01C01
202219493-01,207117380027,R02C01
202219430-01,207117380027,R03C01
202219748-01,207117380027,R04C01
202219479-01,207117380027,R05C01
202219352-01,207117380027,R06C01
202219525-01,207117380027,R07C01
202219213-01,207117380027,R08C01
202219474-01,207117380042,R01C01
202219414-01,207117380042,R02C01
202219858-01,207117380042,R03C01
202219732-01,207117380042,R04C01
202219689-01,207117380042,R05C01
202219707-01,207117380042,R06C01
202219767-01,207117380042,R07C01
202219422-01,207117380042,R08C01
202219434-01,207117380002,R01C01
202219293-01,207117380002,R02C01
202219749-01,207117380002,R03C01
202219371-01,207117380002,R04C01
202219666-01,207117380002,R05C01
202219679-01,207117380002,R06C01
