#Data extracted from R:\Labs\matailab\grants\R01\2018\Miami GDA\data-7-28-23\iMata_GDANB_Pt4\Sample Specific Files\iMata_pt4_GDANB_SampleSheet_Final.csv

Sample_ID,SentrixBarcode_A,SentrixPosition_A,
202303421-01,207455320010,R01C01,
202303744-01,207455320010,R02C01,
202303498-01,207455320010,R03C01,
202303767-01,207455320010,R04C01,
202303473-01,207455320010,R05C01,
202303775-01,207455320010,R06C01,
202303790-01,207455320010,R07C01,
202303387-01,207455320010,R08C01,
202303599-01,207455320052,R01C01,
202303708-01,207455320052,R02C01,
202303482-01,207455320052,R03C01,
202303685-01,207455320052,R04C01,
202303447-01,207455320052,R05C01,
202303809-01,207455320052,R06C01,
202303329-01,207455320052,R07C01,
202303433-01,207455320052,R08C01,
202303431-01,207455320047,R01C01,
202303667-01,207455320047,R02C01,
202303656-01,207455320047,R03C01,
202303774-01,207455320047,R04C01,
202303382-01,207455320047,R05C01,
202303754-01,207455320047,R06C01,
202303861-01,207455320047,R07C01,
202303313-01,207455320047,R08C01,
202303338-01,207455320013,R01C01,
202303832-01,207455320013,R02C01,
202303522-01,207455320013,R03C01,
202303614-01,207455320013,R04C01,
202303352-01,207455320013,R05C01,
202303328-01,207455320013,R06C01,
202303742-01,207455320013,R07C01,
202303508-01,207455320013,R08C01,
202303743-01,207455320003,R01C01,
202303547-01,207455320003,R02C01,
202303784-01,207455320003,R03C01,
202303515-01,207455320003,R04C01,
202303622-01,207455320003,R05C01,
202303374-01,207455320003,R06C01,
202303658-01,207455320003,R07C01,
202303466-01,207455320003,R08C01,
202303582-01,207455320006,R01C01,
202303512-01,207455320006,R02C01,
202303747-01,207455320006,R03C01,
202303366-01,207455320006,R04C01,
202303683-01,207455320006,R05C01,
202303444-01,207455320006,R06C01,
202303714-01,207455320006,R07C01,
202303418-01,207455320006,R08C01,
202303592-01,207600430086,R01C01,
202303889-01,207600430086,R02C01,
202303816-01,207600430086,R03C01,
202303862-01,207600430086,R04C01,
202303463-01,207600430086,R05C01,
202303689-01,207600430086,R06C01,
202303902-01,207600430086,R07C01,
202303613-01,207600430086,R08C01,
202303798-01,207600430085,R01C01,
202303465-01,207600430085,R02C01,
202303857-01,207600430085,R03C01,
202303365-01,207600430085,R04C01,
202303383-01,207600430085,R05C01,
202303645-01,207600430085,R06C01,
202303317-01,207600430085,R07C01,
202303628-01,207600430085,R08C01,
202303663-01,207600430083,R01C01,
202303551-01,207600430083,R02C01,
202303556-01,207600430083,R03C01,
202303308-01,207600430083,R04C01,
202303822-01,207600430083,R05C01,
202303454-01,207600430083,R06C01,
202303301-01,207600430083,R07C01,
201207480-04_pA,207600430083,R08C01,
202303826-01,207600430080,R01C01,
202303346-01,207600430080,R02C01,
202303437-01,207600430080,R03C01,
202303344-01,207600430080,R04C01,
202303319-01,207600430080,R05C01,
202303499-01,207600430080,R06C01,
202303616-01,207600430080,R07C01,
202303605-01,207600430080,R08C01,
202303882-01,207600430081,R01C01,
202303873-01,207600430081,R02C01,
202303458-01,207600430081,R03C01,
202303770-01,207600430081,R04C01,
202303587-01,207600430081,R05C01,
202303885-01,207600430081,R06C01,
202303900-01,207600430081,R07C01,
202303318-01,207600430081,R08C01,
202303554-01,207600430082,R01C01,
202303630-01,207600430082,R02C01,
202303864-01,207600430082,R03C01,
202303789-01,207600430082,R04C01,
202303359-01,207600430082,R05C01,
202303771-01,207600430082,R06C01,
202303800-01,207600430082,R07C01,
202303801-01,207600430082,R08C01,
202303797-01,207455320051,R01C01,
202303664-01,207455320051,R02C01,
202303654-01,207455320051,R03C01,
202303710-01,207455320051,R04C01,
202303736-01,207455320051,R05C01,
202303669-01,207455320051,R06C01,
202303562-01,207455320051,R07C01,
202303670-01,207455320051,R08C01,
202303305-01,207455320049,R01C01,
202303445-01,207455320049,R02C01,
201207480-04_pB,207455320049,R03C01,
202303588-01,207455320049,R04C01,
202303722-01,207455320049,R05C01,
202303773-01,207455320049,R06C01,
202303696-01,207455320049,R07C01,
202303871-01,207455320049,R08C01,
202303411-01,207455320064,R01C01,
202303423-01,207455320064,R02C01,
202303642-01,207455320064,R03C01,
202303468-01,207455320064,R04C01,
202303846-01,207455320064,R05C01,
202303450-01,207455320064,R06C01,
202303604-01,207455320064,R07C01,
202303867-01,207455320064,R08C01,
202303449-01,207455320116,R01C01,
202303583-01,207455320116,R02C01,
202303537-01,207455320116,R03C01,
202303694-01,207455320116,R04C01,
202303640-01,207455320116,R05C01,
202303451-01,207455320116,R06C01,
202303601-01,207455320116,R07C01,
202303623-01,207455320116,R08C01,
202303576-01,207455320099,R01C01,
202303574-01,207455320099,R02C01,
202303405-01,207455320099,R03C01,
202303320-01,207455320099,R04C01,
202303701-01,207455320099,R05C01,
202303385-01,207455320099,R06C01,
202303325-01,207455320099,R07C01,
202303386-01,207455320099,R08C01,
202303703-01,207455320066,R01C01,
202303340-01,207455320066,R02C01,
202303653-01,207455320066,R03C01,
202303524-01,207455320066,R04C01,
202303438-01,207455320066,R05C01,
202303879-01,207455320066,R06C01,
202303311-01,207455320066,R07C01,
202303316-01,207455320066,R08C01,
202303845-01,207455320117,R01C01,
202303435-01,207455320117,R02C01,
202303507-01,207455320117,R03C01,
202303496-01,207455320117,R04C01,
202303644-01,207455320117,R05C01,
202303795-01,207455320117,R06C01,
202303416-01,207455320117,R07C01,
202303755-01,207455320117,R08C01,
202303684-01,207455320138,R01C01,
202303834-01,207455320138,R02C01,
202303852-01,207455320138,R03C01,
202303472-01,207455320138,R04C01,
202303851-01,207455320138,R05C01,
202303819-01,207455320138,R06C01,
202303849-01,207455320138,R07C01,
202303647-01,207455320138,R08C01,
202303729-01,207455320097,R01C01,
202303635-01,207455320097,R02C01,
202303762-01,207455320097,R03C01,
202303452-01,207455320097,R04C01,
202303890-01,207455320097,R05C01,
202303633-01,207455320097,R06C01,
202303478-01,207455320097,R07C01,
202303349-01,207455320097,R08C01,
